成語,解釋,例句,注音,字義,近義詞,反義詞,
飽食終日,吃飽了飯，整天什麼事情也不做。,他每天都很努力工作，不願意飽食終日，無所用心。,飽食終日,,游手好閒,,
飛禽走獸,飛翔的鳥，奔跑的獸。泛指各種鳥獸。,仔細觀察大自然，一顆啃過的果實、一個隱約的足跡，都是飛禽走獸留下的線索。,飛禽走獸,禽：鳥。走：奔跑。,,,
千真萬確,形容情況非常確定，不容置疑。,這個消息經過警方公開證實與宣導，千真萬確。,千真萬確,,,子虛烏有,
原原本本,探求事情的詳細始末或根本。,為了追查出真正的犯人，他原原本本將事發經過詳細記錄下來，希望從中找出蛛絲馬跡。,原原本本,,從頭到尾,語焉不詳,
從容不迫,非常鎮定、不慌不忙的樣子。,暑假結束前，姊姊從容不迫的完成了所有作業。,從容轐迫,,,,
神色自若,神情態度仍和原來一樣，很鎮定的樣子。,不管遇到什麼困難，他都能夠神色自若地面對。,神色自若,自若：自然，不改常態。,,,
處之泰然,遇到緊急狀況或困難，仍不慌不忙的應對。,他面對強敵，依然處之泰然，頗有大將之風。,處之泰然,,,,
面不改色,表情沒有變化。形容遇到危險時，沉著鎮定。,大禍臨頭，他依舊面不改色。,面不改色,,,,
安之若素,指身處逆境、遇到困難或遭受挫折時，能泰然面對，和平常一樣。,他任職多年，對上司吹毛求疵的壞脾氣，早已安之若素，不感驚訝。,安之若素,素：平素，往常。,,,
垂頭喪氣,低著頭，無精打采的模樣。形容人情緒低落，意志消沉的樣子。,安安為了老師出的成語作業而煩惱，垂頭喪氣的走回家。,垂頭喪氣,垂：低著頭。,,,
得意洋洋,形容非常得意的樣子。,安安舉手站起來，得意洋洋的說出許多「成語」。,得意洋洋,,,,
百花齊放,形容各種花朵一起盛開。比喻事物繁華茂盛的樣子。,春秋戰國時期，社會上各種思想流派百花齊放，被稱為「諸子百家」。,百花齊放,,萬紫千紅,,
和風細雨,溫和微風，柔細小雨。比喻態度溫和不粗暴。,媽媽平日對我說話如和風細雨般溫柔。,和風細雨,,,狂風暴雨,
鶯歌燕舞,黃鶯鳴唱，燕子飛翔。形容大好春光或大好形勢。,春天到了，樹林裡鶯歌燕舞，春意盎然。,鶯歌燕舞,,,,
鳥語花香,鳥兒啼叫，花兒飄香。形容春天迷人的景色。,春天到了，鳥語花香，正是遊園踏青的好時機。,鳥語花香,,,,
玉不琢，不成器,玉不經過雕琢加工，就不能成為有用的器皿。比喻人不經過教育和培養，就不能成材。,天賦再好的運動員，也需要長時間的專業訓練才能成材，就像「玉不琢，不成器」的道理。,玉不琢，不成器,琢：雕刻。,,,
挺身而出,毫不畏懼，勇敢站出來承擔責任。,安安看到有人欺負一隻小狗，挺身而出嚇跑了壞人。,挺身而出,,,,
山明水秀,形容山水風景優美、明媚。,我的家鄉是個山明水秀的好地方。,山明水秀,,,窮山惡水,
日積月累,一天天、數個月長時間不斷的累積。,學習要像滾雪球般的日積月累，才能學有所成。,日積月累,,積少成多,,
自言自語,自己跟自己說話。,小松鼠覺得很奇怪，自言自語的說：「是誰把花生偷走了呢？」,自言自語,,喃喃自語,,
千里之行，始於足下,千里遠的路程，都是從邁開腳的第一步開始。比喻任何事情都是由小而大，逐漸累積而成的。,想成為科學家並不簡單，「千里之行，始於足下」，從現在開始就要培養獨立思考、認真研究的精神了。,千里之行，始於足下,,,好高騖遠,
百尺竿頭，更進一步,比喻即使達到極高的境界，仍須努力上進。,我們班今年獲選為「最佳班級」，老師在表揚全班同學時，也勉勵大家不要驕傲，應「百尺竿頭，更進一步」。,百尺竿頭，更進宜步,竿：竹竿，注意不要寫成「杆」。,,,
垂涎欲滴,形容非常嘴饞。也比喻對別人的東西感到眼紅。,冰淇淋看起來真好吃，安安早就垂涎欲滴了。,垂涎欲滴,,,,
震耳欲聾,耳朵快被震聾了，形容聲音極大。,安安上課打瞌睡，被石老師震耳欲聾的大吼嚇醒了。,震耳欲聾,,,,
喜極而泣,高興到了極點而哭泣，形容非常高興。,小狗沒事，真是太好了！安安忍不住喜極而泣。,喜極而泣,,,,
心灰意冷,灰心喪氣，意志低沉。,人生不如意之事十常八九，千萬不要遇到一點挫折就心灰意冷。,心灰意冷,,,,
唉聲嘆氣,因傷心、愁悶或痛苦而發出嘆息。,眼看這個假期因下雨而泡湯，他不禁唉聲嘆氣。,唉聲嘆氣,,,,
死氣沉沉,形容氣氛沉悶或沒有生氣。也形容意志消沉，精力衰退。,這幢老屋久沒人居住，看起來死氣沉沉的。,死氣沉沉,,,,
有氣無力,形容一點力氣都沒有，無精打采的樣子。,他說話有氣無力的樣子，好像病得很嚴重。,有氣無力,,,,
四海為家,「四海」泛指各處。原指帝王擁有四海，天下一家。後形容人四處飄泊，居無定所。,原來牠叫做蘇坡坡，是一隻四海為家的小狗。,四海為家,,,,
出乎意料,事物發展在人們的料想之外。,小狗也沒想到有人類能聽懂牠說的話，真是出乎意料。,出乎意料,,,,
目瞪口呆,睜大眼睛，說不出話來。形容因受驚、害怕或茫然而愣住的樣子。,這隻小狗竟然會說話！安安驚訝得目瞪口呆。,目瞪口呆,,,,
學富五車,形容讀書多，知識淵博。,坡坡不是一隻普通的小狗，牠可是一隻學富五車的小狗！,學富五居,,,,
不恥下問,樂於向學問或職位比自己低的人請教，也不覺得丟臉。,我們要抱持著不恥下問的精神來學習，千萬別不懂裝懂。,不恥下問,,,自以為是,
妖魔鬼怪,妖怪和魔鬼。比喻各種邪惡勢力。,夜晚的樹林颳起大風，晃動的樹影彷彿是張牙舞爪的妖魔鬼怪。,妖魔鬼怪,,牛鬼蛇神,,
千門萬戶,形容建築物規模龐大，門戶眾多。也指許許多多戶人家。,春節到了，千門萬戶紛紛張燈結綵，喜氣洋洋。,千門萬戶,,,,
冰天雪地,冰雪漫天蓋地。形容天氣十分寒冷。,今年冬天特別冷，連近郊的陽明山也變成一片冰天雪地。,冰天雪地,,天寒地凍,,
十年樹木，百年樹人,種植樹木需要十年時間，培育人才則須百年功夫。指培養人才是長久之計，也說明培養人才的不容易。,每位家長都希望自己的孩子能長大成材，但十年樹木，百年樹人，教養不能急於一時，唯有耐心的陪伴，孩子才能健康成長。,十年樹木，百年樹人,樹：種植、栽培。,,,
落葉歸根,枝頭上的樹葉，凋落後墜地回到樹根。比喻人或事物總有一定的歸宿，多指客居他鄉的遊子最後仍會回到故鄉。,伯父旅居國外多年，晚年落葉歸根，回到了故鄉。,落葉歸根,,,離鄉背井,
己所不欲，勿施於人,自己不願意的事情，不要施加到別人身上。,我們要學習換位思考，用同理心對待他人，也就是己所不欲，勿施於人。,己所轐欲，勿施於人,欲：想要。施：施加。,,強人所難,
言而有信,說話誠實講信用。,爸爸從不輕易承諾，但只要一開口絕對會言而有信。,言而有信,信：信用、信義。,,言而無信,
不以規矩，不成方圓,不用圓規和尺，就不能正確畫出圓形和方形。比喻做事要遵循一定的標準與原則。,俗話說：「不以規矩，不成方圓」，告訴我們要遵紀守法，做一個正正當當的公民。,不以規矩，不成方圓,規矩：圓規和尺，是畫圓和畫方的工具。,,,
含苞待放,指花蕾即將綻放的狀態。也比喻少女的青春年華。,我在花圃裡看到一朵含苞待放的薔薇，真美啊！,含苞待放,,荳蔻年華,,
博聞強記,見聞學識廣博，記憶力強。,總編最令人佩服之處就是能博聞強記，不但看的書多，並且過目不忘。,博聞強記,,,,
博古通今,通曉古代和現代的事情。形容知識淵博。,王老師博古通今，上課時風趣幽默，內容豐富，很受學生歡迎。,博古通今,,博覽古今,才疏學淺、不學無術、孤陋寡聞、胸無點墨,
博學多聞,學識廣，見聞多。,,博學多聞,,,,
學貫中西,學問貫通中國和西方。形容知識淵博。,,學貫中西,,,,
滿腹經綸,形容人很有治國的才幹或很有才學。,歷史上像諸葛亮既是滿腹經綸又足智多謀的人，並不多見。,滿腹經綸,經綸：整理絲線之意，引申為規劃、治理。,足智多謀、博學多才、滿腹經籍、學富五車,才疏學淺、不學無術、不識一丁、胸無點墨,
居無定所,沒有固定居住的地方。形容生活飄泊不定。,他一向居無定所，你很難找得到他的。,居無定所,,,,
萍蹤浪跡,浮萍隨水流飄泊不定。比喻人到處飄泊，無法掌握行蹤。,你又不大在家，知道你天天萍蹤浪跡，沒個一定的去處。,評宗浪跡,,,,
無家可歸,連家都沒了，失去投奔歸依的地方。指無處安身依靠。,強烈地震造成嚴重災害，使得許多人無家可歸。,無家可歸,,,,
浪跡天涯,在世界各地流浪。,他以賣藝為生，奔走四方，浪跡天涯。,浪跡天涯,,,,
顛沛流離,形容生活困苦，四處流浪，無安身之所。,他好不容易找到了一份安定的工作，希望從此可以結束顛沛流離的生活。,顛沛流離,,,,
風捲殘雲,大風捲走了殘餘的雲，比喻一下子就消失。,經過一整天的跋涉，大家飢腸轆轆，一見到晚餐便如風捲殘雲般把菜餚吃得一乾二淨。,風捲殘雲,,流離失所、斷梗飄蓬,安土重遷、安居樂業,
大快朵頤,鼓動著腮頰吃東西。形容飽食愉快的樣子。,媽媽煮了滿桌的好菜，我又可以大快朵頤一番了。,大快朵頤,朵頤：鼓腮咀嚼食物的意思。,,,
細嚼慢嚥,細細咀嚼食物，慢慢吞嚥。形容吃得很慢。,吃飯時應該細嚼慢嚥，才能幫助消化。,細嚼慢嚥,,,,
飢不擇食,飢餓時不管什麼都吃。比喻需求緊迫，顧不得選擇。,他餓了好多天，飢不擇食，見了食物，便狼吞虎嚥起來。,飢不擇食,,寒不擇衣、渴不擇飲、慌不擇路,,
千鈞一髮,古代的三十斤為一鈞，千鈞的重物只用一根頭髮繫著，形容事態極其危險。,一隻蟑螂忽然飛到媽媽面前，就在這千鈞一髮之際……,千鈞億髮,,九死一生、危如累卵、岌岌可危、間不容髮,安如泰山、安如磐石,
斬釘截鐵,形容行事或發言堅決果斷，毫不猶豫。,家裡緊急召開家庭會議，媽媽斬釘截鐵的拒絕了安安收養小狗的請求。,斬釘截鐵,,,拖泥帶水、模稜兩可、優柔寡斷,
各抒己見,各自發表自己的意見或見解。,爸爸、媽媽和姊姊各抒己見，一致反對留下小狗。,各抒己見,,,,
搖尾乞憐,狗搖著尾巴，乞求主人的憐愛。形容人有所請求，卑躬屈膝，諂媚討好別人。,坡坡不停的搖尾乞憐。,搖尾乞憐,,低聲下氣,不卑不亢、昂首挺立、錚錚鐵骨,
化險為夷,使危險的情況或處境轉變為平安無事。,坡坡一掌拍死了蟑螂，讓這場危機化險為夷。,化險為夷,,轉危為安,,
心有餘悸,事情雖然過去，但回想起來心裡還是感到恐懼。,一家人談到剛才的危機，仍然心有餘悸。,心有餘悸,,,,
惱羞成怒,由於羞愧惱恨而發怒。,小華被同學當面指出錯誤，惱羞成怒的開始頂嘴。,惱羞成怒,,氣急敗壞,心平氣和,
有志者事竟成,只要有決心和毅力，立定志向去做，事情終究會成功。,在專為身心障礙者舉辦的帕拉林匹克運動會中，每位運動員都充分展現出「有志者事竟成」的鬥志。,有志者事竟成,竟：終於。,,,
安居樂業,安定的生活，愉快的工作。形容人們生活安樂幸福。,經過先人的開墾，這片荒地已成為大家安居樂業的幸福家園。,安居樂業,,安身立命、安家立業,水深火熱、民不聊生、流離失所、顛沛流離,
雲消霧散,雲和霧瞬間消散。形容心中的疑惑、誤會或某種情緒等得以化解、消除。,我們爬到山頂時，太陽正從山邊升起，雲消霧散，使得眼前一片開朗。,雲消霧散,,煙消雲散,,
風雨交加,風雨同時來襲。形容天氣十分惡劣，也可以比喻多種災難同時降臨。,在那個風雨交加的夜晚，連樹林孤鳥都發出淒厲的嚎叫。,風雨交加,,,,
雷電交加,天空中雷聲與閃電交錯出現。形容天氣極為糟糕。,我們在雷電交加中冒雨趕回家，全身都溼透了。,雷電交加,,,,
神氣活現,形容神情得意傲慢的樣子。,他仗著自己和老闆有親戚關係，在公司裡總是神氣活現。,神氣活現,活現：逼真顯現。,,,
搖頭擺尾,指動物擺動頭、尾的樣子。也形容人高興、得意或輕狂的神情。,我還沒進家門，愛犬飛飛就搖頭擺尾的衝出來迎接我。,搖頭擺尾,,,,
風調雨順,風雨來得及時且剛好。形容豐年安樂，天下太平。,每年的媽祖繞境都吸引大批信徒參與，祈求風調雨順、闔家平安。,風調雨順,調：配合得均勻合適。,時和年豐,旱魃為虐,
唇槍舌劍,嘴脣如槍，舌頭似劍。形容辯論激烈，言詞非常尖銳犀利。,兩位市長候選人在政見發表會上脣槍舌劍，說起話來毫不留情。,唇槍舌劍,,,,
據理力爭,依據道理，努力爭辯或盡力爭取。,遇到不合理的事就應據理力爭，維護自己的權益。,據理力爭,,,,
百家爭鳴,泛指各種言論思想發展蓬勃，互相論戰。,學術界的百家爭鳴正是學術自由發展的象徵。,百家爭鳴,,,,
各執一詞,各人堅持各人的說法，意見不一致。,與會雙方各執一詞，究竟誰是誰非，還需進一步查證。,各執億詞,,,,
莫衷一是,指分歧很大，各說各話，沒有一致的結論。,同學對畢業旅行的方式議論紛紜，莫衷一是。,莫衷宜是,衷：心中的想法。,眾說紛紜,異口同聲、眾口一詞,
狼吞虎嚥,像狼和虎一樣吞嚥食物。形容大口吞食又急又猛的樣子。,安安惦記著門外的坡坡，狼吞虎嚥的把晚餐吃完了。,狼吞虎嚥,,,,
提心吊膽,形容十分擔心、害怕，心神無法平靜。,安安提心吊膽的溜出門找坡坡，就怕被家人發現。,提心吊膽,,,,
大吃一驚,形容很驚訝意外的樣子。,姊姊被坡坡從暗處中竄出的影子嚇了一跳，不由得大吃一驚！,大 吃億驚,,,,
鬼鬼祟祟,形容行為偷偷摸摸，怕被人發現的樣子。,安安偷偷在塑膠袋裡塞滿紅燒肉，沒想到這鬼鬼祟祟的舉動全被姊姊看在眼裡。,鬼鬼祟祟,,,,
得過且過,原指過一天算一天，能過得去就暫且繼續下去，不做長遠的打算。現在也指不求上進、不負責任，敷衍了事。,他從學校畢業後完全沒有規劃下一步，每天過著得過且過的生活。,得過且過,且：暫且。,,一絲不苟,
不言不語,沉默不語，悶不吭聲，不愛說話。,王小明平日總是不言不語，不過只要一開口就能成為眾人的焦點。,不言不語,,默不作聲,口若懸河,
隻言片語,零星片段的話語或詞句。,媽媽從妹妹的隻言片語中，猜出了他想買新的玩具。,隻言片語,隻：孤單的、個別的。片：零星。,,,
三言兩語,很少的幾句話，形容言語簡潔。,小亮是說笑話的高手，三言兩語就能把大家逗得捧腹大笑。,三言兩語,三、兩：表示數量很少。,,千言萬語,
千言萬語,形容話很多。,我和他是從小玩到大的朋友，千言萬語也說不盡我們之間的友情。,千言萬語,,,三言兩語,
豪言壯語,豪邁雄壯且充滿氣魄的言語。,足球小將在出國參賽前，做出「稱霸世界、為國爭光」的豪言壯語。,豪言壯語,,,,
沉默寡言,形容性格沉靜，極少說話。,他生性害羞，平日沉默寡言，只愛埋頭鑽研學問。,沉默寡言,,,滔滔不絕,
甜言蜜語,甜美動聽的話語。,今天是母親節，大雄講了許多甜言蜜語逗媽媽開心。,甜言蜜語,,,,
星星之火,細小的火苗。比喻微小的事情或起始。,再猛烈的大火，都是由星星之火所引起。,星星之火,星星：一點點的小火星。,,,
四面八方,泛指周圍各地或各方面。,發生震災後，世界各地的物資從四面八方湧入。,四面八方,,五湖四海,,
靈機一動,指忽然想出辦法或突然領悟。,安安靈機一動，可以請坡坡教自己成語啊！,靈機宜動,,,,
裹足不前,有所擔心而停止腳步，不敢向前。,坡坡跟安安一起到他家附近，卻裹足不前。,裹足不前,,,,
半信半疑,一半相信，一半懷疑。有點相信又有點疑惑，對事情的真假不敢肯定判斷。,坡坡對安安的保證感到半信半疑。,半信半疑,,,,
飢腸轆轆,餓得肚子咕嚕咕嚕叫。形容非常飢餓。,坡坡如果接受安安的提議，就不用再過著飢腸轆轆的日子。,飢腸轆轆,,,,
流離失所,形容到處流浪，無處安身。,坡坡回想過去流離失所的飄泊生活。,流離失所,,,,
一言為定,一句話說定了，就不再更改與反悔。,坡坡終於決定和安安回家，他們打勾勾說：「一言為定！」,億言為定,,,,
煙消雲散,形容事物消失得無影無蹤。,經過老師的耐心講解，我心中的疑惑頓時煙消雲散。,煙消雲散,,雲消霧散,,
名山大川,有名的山脈和大河。,司馬遷年輕時曾遊歷天下的名山大川，增長了見聞，也開闊了胸襟。,名山大川,,,,
奇形怪狀,不尋常又奇特怪異的形狀。,那些奇形怪狀的無名岩石，正等著你來為它們命名呢！,奇形怪狀,,怪模怪樣,,
一枝獨秀,一枝花開得特別秀美。也比喻人或事物最為傑出，特別優異。,他的書法作品在眾多參賽作品中一枝獨秀，獲得了第一名。,億枝獨秀,,鶴立雞群,,
名不虛傳,流傳開來的名聲不是虛假的。表示名聲與實際情況完全一致。,傳說「桂林山水甲天下」。這個暑假爸媽帶我去桂林旅遊，果真名不虛傳。,名不虛傳,,,徒有虛名,
百聞不如一見,聽別人說一百次，不如親眼看一次。,兵馬俑世界聞名，但是百聞不如一見，親臨現場的感覺實在太震撼了！,百聞不如宜見,聞：聽到。,耳聽為虛、眼見為實,以耳為目,
五光十色,形容色彩鮮艷，種類繁多，光彩耀眼。,許多串葡萄掛在綠葉之下，從淺紫、玫紅到深紫，五光十色，美麗極了。,五光十色,五、十：表示數量眾多。,,,
坐井觀天,坐在井裡看天。比喻目光狹窄，見識不廣且侷限。,他雖然生活在封閉的小山村，卻沒有坐井觀天，而是透過不斷閱讀來開闊自己的視野。,坐井觀天,觀：看。,井蛙之見、以管窺天、以蠡測海、管中窺豹,見多識廣、高瞻遠矚,
無邊無際,沒有邊界。指極為遼闊廣大。,我們頭頂上的天空無邊無際，遠比我們想像中的遼闊。,無邊無際,,,,
海枯石爛,直到海水乾涸，石頭粉碎腐爛，形容經歷極長的時間。比喻意志堅定，永久不變。,等到海枯石爛，烏托邦的理想社會也不可能出現。,海枯石爛,,地老天荒、矢志不渝、海誓山盟,喜新厭舊、朝三暮四、朝秦暮楚,
海誓山盟,誓言和約定堅定不移，有如大海和高山般永恆。多指男女感情約定。,羅密歐和茱麗葉的海誓山盟令人動容，但現實生活中卻極少人能做到。,海誓山盟,,天長地久、地老天荒、金石之盟、信誓旦旦、海枯石爛,出爾反爾、自食其言、言而無信、食言而肥、背信棄義,
一言九鼎,九鼎，傳說中夏禹的傳國寶器。一句話的分量像九鼎那樣重。形容說的話很有信用，分量很重。,他在商界一言九鼎，所以大家有什麼困難都找他幫忙。,義言九鼎,,,人微言輕,
一諾千金,許下一個諾言有千斤黃金的價值。形容說話算話，極有信用。,這件事承蒙您一諾千金，鼎力相助，終於讓我度過難關。,宜諾千金,,一言為定,出爾反爾、言而無信、食言而肥、輕諾寡信,
言之不渝,說出口的話就不會更改。,,言織布於,不渝：不變之意。,,,
充耳不聞,堵住耳朵，假裝沒聽見。形容拒絕聽取別人的意見。,安安知道自己錯了，趕緊向坡坡道歉。但坡坡充耳不聞，不肯理他。,充耳不聞,,不聞不問、馬耳東風、閉目塞聽、置若罔聞,洗耳恭聽,
猝不及防,事情突然發生，來不及應變。,忽然飛來一隻烏鴉，猝不及防的叼走了金牌。,猝不及防,,,,
氣喘吁吁,呼吸急促，氣喘不已的樣子。形容非常勞累。,他們兩個拚命追趕烏鴉，跑得氣喘吁吁。,氣喘吁吁,,,,
物歸原主,物品歸還給原來的主人。,安安把一塊石頭丟過去，嚇得烏鴉扔下金牌逃走了，金牌總算物歸原主。,物歸原主,,完璧歸趙,,
豁然開朗,形容眼前頓時變得明亮又開闊。比喻原來不明白，突然領悟了某個道理。,安安和坡坡鑽過又深又暗的樹洞，眼前豁然開朗。,豁然開朗,豁：開通、開闊。,恍然大悟、茅塞頓開、頓開茅塞、豁然大悟、豁然貫通,一竅不通、大惑不解、百思不解、百思莫解,
豁然開朗,形容眼前頓時變得明亮又開闊。比喻原來不明白，突然領悟了某個道理。,查了這部百科全書，頓時豁然開朗，解決多年的疑惑。,豁然開朗,豁：開通、開闊。,恍然大悟、茅塞頓開、頓開茅塞、豁然大悟、豁然貫通,一竅不通、大惑不解、百思不解、百思莫解,
鄭重其事,形容對待事物的態度非常嚴肅認真。,他們兩個鄭重其事的約定，坡坡要幫助安安成為成語大王。,鄭重其事,,,,
百戰百勝,每次打仗都能獲勝。形容所向無敵。,我們學校的籃球隊在各種比賽中屢屢奪冠，百戰百勝。,百戰百勝,,百戰不殆,,
百依百順,形容事事都順從，毫不違背。,我爸媽的想法開明，家裡的氣氛十分融洽且民主，晚輩不須一味對長輩百依百順。,百依百順,依：依從。順：順從。,言聽計從,,
四通八達,四面八方都有路相通。形容交通非常便利。,這座城市的的地鐵四通八達，交通十分便利。,四通八達,,四會五達、暢通無阻,山重水複、路絕人稀、斷潢絕港,
四平八穩,形容物體擺得很穩。也比喻說話、態度穩當。,他做事四平八穩，但缺乏創意。,四平八穩,,,,
七嘴八舌,形容人多口雜，意見分歧。,這群球迷一邊看球賽，一邊七嘴八舌的發表議論。,七嘴八舌,,議論紛紛,異口同聲,
七手八腳,形容人多手雜，動作不一。也形容眾人一起動手的樣子。,全班同學七手八腳的一起打掃，教室很快就煥然一新。,七手八腳,,手忙腳亂,有條不紊,
一本正經,形容莊重、認真的態度。,詐騙集團常用一本正經的說詞誘使民眾上當，我們一定要提高警覺。,義本正經,正經：端莊正派。,,,
淡妝濃抹,淡妝則顏色素淨，濃抹則色彩豔麗。用於形容風光景致，也指女子裝扮。,阿姨身材高挑，皮膚細白光滑，不論淡妝濃抹都很漂亮。,淡妝濃抹,妝：妝飾。抹：塗抹。,,,
成群結隊,很多人聚集在一起，形成一個群體。,魚兒成群結隊的在珊瑚礁中穿梭游動，好看極了。,成群結隊,,,形單影隻,
洶湧澎湃,形容水勢很大，波浪互相撞擊，發出巨響。也比喻聲勢浩大。,這次颱風帶來驚人的風雨，海邊的浪潮洶湧澎湃。既壯觀，又讓人畏懼大自然的力量。,洶湧澎湃,,波瀾壯闊,風平浪靜,
聚精會神,指專心一致，集中精神。,許下承諾的隔天，安安學成語時，果然變得聚精會神。,聚精會神,,目不轉睛、全神貫注、專心致志,心不在焉、心猿意馬、魂不守舍,
形影不離,像身體和影子一樣不分離。形容彼此關係密切，經常伴隨，不能分離。,時間一天天過去，安安和坡坡成了形影不離的好朋友。,形影不離,,寸步不離、如影隨形、形影相隨,形單影隻、形影相弔,
防不勝防,做了很多準備，還是難以防備。,病菌無孔不入，令人防不勝防。,防不勝防,,,,
措手不及,事情發生太快，還來不及應付。,我軍深夜突襲敵軍陣地，打個敵軍措手不及。,措手不及,,,應付自如,
始料未及,指最初沒料想到。,這件事情會演變到這種地步，實在是始料未及。,始料未及,,,,
回心轉意,改變原來的態度和心意。,爸爸、媽媽和姊姊都很感激坡坡出手相救，終於回心轉意，考慮留下牠。,回心轉意,,,一意孤行、死心塌地、固執己見、執迷不悟,
皆大歡喜,大家都很滿意、高興。,家裡又多了一個新成員，全家皆大歡喜。,皆大歡喜,,,,
不約而同,沒有事先商量，而彼此的見解或行動相同。,大家不約而同的舉手，一致同意留下坡坡。,不約而同,,不謀而合,,
異口同聲,大家說出同樣的話，形容意見相同。,一家四口異口同聲的說：「我們來投票吧！」,異口同聲,,,眾說紛紜,
龍飛鳳舞,形容山勢蜿蜒雄壯。也形容書法筆勢飄逸活潑。,爺爺擅長書法，一手行草龍飛鳳舞。,龍飛鳳舞,,筆走龍蛇,,
雞鳴狗吠,雞和狗是人類常飼養的動物，若能聽到牠們的叫聲，代表此處是人群聚集的鄉村莊園。,這個小村莊炊煙裊裊，雞鳴狗吠，一派安靜祥和。,雞鳴狗吠,,雞犬相聞,,
驚弓之鳥,被弓箭嚇過而感到害怕的鳥。比喻曾受到事物打擊或驚嚇，往後稍有動靜就會特別害怕。,強烈地震後，大家都成了驚弓之鳥，稍有震動就會爭先恐後的往外跑。,驚弓之鳥,,心有餘悸,,
漏網之魚,逃脫漁網的魚。比喻僥倖逃脫。,刷牙一定要仔細，那些藏在牙縫中的菜渣很可能會成為漏網之魚。,漏網之魚,,,甕中之鱉,
害群之馬,危害馬群的個體。比喻危害團體的人。,智齒可能會讓整個口腔都不舒服，就像害群之馬。,害群之馬,,,,
膽小如鼠,像老鼠一樣膽小。形容膽子非常小。,妹妹聽了鬼故事之後，便不敢自己睡覺，真是膽小如鼠。,膽小如鼠,,,膽大包天,
如虎添翼,像老虎長了翅膀。比喻原本已相當優越的條件，在增加助力後更為強大。,表哥得到資深棋手的指導，短時間內棋藝進步神速，可謂如虎添翼。,如虎添翼,翼：翅膀。,錦上添花,雪上加霜,
如魚得水,好像魚兒到了水中一樣自在快活。形容遇到的人跟自己很投合或所處的環境和自己很適合。,他喜歡大自然，一回到山裡就如魚得水。,如魚得水,,,格格不入,
草長鶯飛,綠草茂盛，黃鶯飛舞。形容春天的美好景色。,春天的郊山草長鶯飛，風光明媚，讓人為之沉醉。,草漲英飛,長：生長。注意不要讀成「ㄔㄤˊ」。,,,
五顏六色,形容色彩多樣豐富。引申為各式各樣。,門前開著一大片五顏六色的鮮花，好美啊！,五顏六色,,五光十色,,
喜不自勝,高興到無法形容。非常高興的樣子。,,喜轐自生,,,,
信誓旦旦,誓言說得極其懇切，誠摯可信。,安安信誓旦旦的向媽媽保證，不會因為養狗而耽誤學業。,信誓旦旦,,,,
如釋重負,好像放下了沉重的擔子。形容解除負擔或擺脫困擾後，身心輕鬆愉快。,安安如釋重負，坡坡終於可以留下來了。,如釋重負,,,,
洗心革面,比喻徹底悔改或轉變。,為了表明自己的決心，安安決定洗心革面。,洗心革面,,,,
夜深人靜,夜已經深了，沒有人聲，非常安靜。,夜深人靜，家裡所有人都睡著了。,夜深人靜,,,,
約法三章,指事前的約束或規定。,月光照在床頭的一張紙上，那是安安和坡坡約法三章的規定。,約法三章,,,,
引人注目,形容人或事物具有特色，能引起他人注意。,他自學生時代起就展現出優秀的設計長才，身上的穿搭總是引人注目。,引人注目,注目：注視、注意。,,鮮為人知,
興致勃勃,形容興趣很濃厚。,他興致勃勃的攤開素描本，用畫筆為眼前美景留下永恆的回憶。,興致勃勃,勃勃：旺盛的樣子。,,興味索然,
錦上添花,在錦緞上繡花。比喻使美好的事物更加美好。,這次桌球比賽中，我們學校榮獲男女混雙組的金牌。錦上添花的是，連團體組都奪得總冠軍！,錦上添花,錦：一種有彩色花紋的絲織品。,,雪上加霜,
發憤圖強,下定決心，努力奮鬥自強。,不論古今中外，推動世界進步的科技發展背後，都少不了一群發憤圖強的科學家。,發憤圖強,圖：謀求。,,得過且過,
繁榮昌盛,指國家或事業經營成功且興盛。,唐太宗時，繁榮昌盛的局面被稱為「貞觀之治」。,繁榮昌勝,,,,
興高采烈,原指文章旨趣很高，文辭犀利。如今也用以形容人興奮歡快、情緒熱烈的樣子。,同學們正在興高采烈的討論下週的校外教學。,姓高采烈,興：興致。烈：旺盛。,興致勃勃,,
筋疲力盡,形容非常疲勞，力氣已經用盡。,農夫從中午一直忙到夕陽西下，返家時早已精疲力盡。,筋疲力盡,,,神采奕奕,
和顏悅色,溫和、愉快的臉色。形容態度溫和可親。,即使自己的心情再怎麼不好，他還是和顏悅色的對待周遭友人。,和顏悅色,顏：面容。色：臉色。,和藹可親,,
賞心悅目,因看到美好的情景或事物而心情愉快。,他的作業字跡整齊清秀，看起來賞心悅目。,賞心悅目,賞心：使心情歡暢。,心曠神怡,,
眉開眼笑,眉頭舒展，眼含笑意。形容高興愉快的神情。,張奶奶抱著剛出生的小孫子，高興得眉開眼笑。,眉開眼笑,,笑逐顏開,愁眉不展,
拭目以待,把眼睛擦亮等待著。比喻對事情的發展與結果有所期待。,坡坡對安安未來的表現拭目以待。,拭目以待,,,,
三心二意,形容人的心意不定，做事或態度猶豫不決。,安安一寫作業就開始三心二意。,三心二意,,,,
變本加厲,比喻改變原有的狀況後反而更加嚴重。,安安根本不理坡坡的提醒，反而變本加厲。,變本加厲,,,,
